ZIP Code,Duration Buyers,city,state_id,,Zip Code,CPL Payouts,city,state_id,,,Zip Code,Duraiton no GMB allowed,city,state_id
01940,$25.20,Lynnfield,MA,,02026,$12.00,Dedham,MA,,,91103,$19.25,Pasadena,CA
01945,$25.20,Marblehead,MA,,02030,$12.00,Dover,MA,,,91104,$19.25,Pasadena,CA
01949,$25.20,Middleton,MA,,02032,$12.00,East Walpole,MA,,,91105,$19.25,Pasadena,CA
01950,$25.20,Newburyport,MA,,02052,$12.00,Medfield,MA,,,91106,$19.25,Pasadena,CA
02062,$25.20,Norwood,MA,,02054,$12.00,Millis,MA,,,91107,$19.25,Pasadena,CA
02148,$25.20,Malden,MA,,02056,$12.00,Norfolk,MA,,,91108,$19.25,San Marino,CA
02149,$25.20,Everett,MA,,02062,$12.00,Norwood,MA,,,91201,$19.25,Glendale,CA
02186,$25.20,Milton,MA,,02067,$12.00,Sharon,MA,,,91202,$19.25,Glendale,CA
02420,$25.20,Lexington,MA,,02072,$12.00,Stoughton,MA,,,91203,$19.25,Glendale,CA
02476,$25.20,Arlington,MA,,02081,$12.00,Walpole,MA,,,91204,$19.25,Glendale,CA
20124,$25.20,Clifton,VA,,02090,$12.00,Westwood,MA,,,91205,$19.25,Glendale,CA
20176,$25.20,Leesburg,VA,,02457,$12.00,Babson Park,MA,,,91206,$19.25,Glendale,CA
20814,$25.20,Bethesda,MD,,02481,$12.00,Wellesley Hills,MA,,,91207,$19.25,Glendale,CA
20815,$25.20,Chevy Chase,MD,,02482,$12.00,Wellesley,MA,,,91208,$19.25,Glendale,CA
20816,$25.20,Bethesda,MD,,02492,$12.00,Needham,MA,,,91214,$19.25,La Crescenta,CA
20853,$25.20,Rockville,MD,,02494,$12.00,Needham Heights,MA,,,91301,$19.25,Agoura Hills,CA
20854,$25.20,Potomac,MD,,20001,$12.00,Washington,DC,,,91302,$19.25,Calabasas,CA
20874,$25.20,Germantown,MD,,20002,$12.00,Washington,DC,,,91307,$19.25,West Hills,CA
20877,$25.20,Gaithersburg,MD,,20003,$12.00,Washington,DC,,,91316,$19.25,Encino,CA
20878,$25.20,Gaithersburg,MD,,20004,$12.00,Washington,DC,,,91326,$19.25,Porter Ranch,CA
20903,$25.20,Silver Spring,MD,,20005,$12.00,Washington,DC,,,91344,$19.25,Granada Hills,CA
20904,$25.20,Silver Spring,MD,,20006,$12.00,Washington,DC,,,91356,$19.25,Tarzana,CA
22042,$25.20,Falls Church,VA,,20007,$12.00,Washington,DC,,,91361,$19.25,Westlake Village,CA
22066,$25.20,Great Falls,VA,,20008,$12.00,Washington,DC,,,91362,$19.25,Thousand Oaks,CA
22181,$25.20,Vienna,VA,,20009,$12.00,Washington,DC,,,91364,$19.25,Woodland Hills,CA
22204,$25.20,Arlington,VA,,20010,$12.00,Washington,DC,,,91367,$19.25,Woodland Hills,CA
22205,$25.20,Arlington,VA,,20011,$12.00,Washington,DC,,,91377,$19.25,Oak Park,CA
22308,$25.20,Alexandria,VA,,20012,$12.00,Washington,DC,,,91403,$19.25,Sherman Oaks,CA
22314,$25.20,Alexandria,VA,,20015,$12.00,Washington,DC,,,91423,$19.25,Sherman Oaks,CA
28104,$25.20,Matthews,NC,,20016,$12.00,Washington,DC,,,91436,$19.25,Encino,CA
28105,$25.20,Matthews,NC,,20017,$12.00,Washington,DC,,,91501,$19.25,Burbank,CA
28210,$25.20,Charlotte,NC,,20018,$12.00,Washington,DC,,,91502,$19.25,Burbank,CA
