Zip Code,CPL Buyer Payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State
85226,$159.50,Chandler,AZ,,33569,$99.75,Riverview,FL
85233,$159.50,Gilbert,AZ,,33578,$99.75,Riverview,FL
85234,$159.50,Gilbert,AZ,,33594,$99.75,Valrico,FL
85236,$159.50,Higley,AZ,,33596,$99.75,Valrico,FL
85244,$159.50,Higley,AZ,,33606,$99.75,Tampa,FL
85246,$159.50,Higley,AZ,,33607,$99.75,Tampa,FL
85248,$159.50,Chandler,AZ,,33614,$99.75,Tampa,FL
85249,$159.50,Chandler,AZ,,33615,$99.75,Tampa,FL
85250,$159.50,Scottsdale,AZ,,33616,$99.75,Tampa,FL
85251,$159.50,Scottsdale,AZ,,33617,$99.75,Tampa,FL
85252,$159.50,Scottsdale,AZ,,33624,$99.75,Tampa,FL
85253,$159.50,Paradise Valley,AZ,,33626,$99.75,Tampa,FL
85254,$159.50,Scottsdale,AZ,,33647,$99.75,Tampa,FL
85255,$159.50,Scottsdale,AZ,,33688,$99.75,Tampa,FL
85256,$159.50,Scottsdale,AZ,,33702,$99.75,Saint Petersburg,FL
85257,$159.50,Scottsdale,AZ,,33706,$99.75,Saint Petersburg,FL
85258,$159.50,Scottsdale,AZ,,33707,$99.75,Saint Petersburg,FL
85259,$159.50,Scottsdale,AZ,,33709,$99.75,Saint Petersburg,FL
85260,$159.50,Scottsdale,AZ,,33716,$99.75,Saint Petersburg,FL
85261,$159.50,Scottsdale,AZ,,33733,$99.75,Saint Petersburg,FL
85262,$159.50,Scottsdale,AZ,,33761,$99.75,Clearwater,FL
85263,$159.50,Rio Verde,AZ,,33763,$99.75,Clearwater,FL
85264,$159.50,Fort Mcdowell,AZ,,33772,$99.75,Seminole,FL
85266,$159.50,Scottsdale,AZ,,33777,$99.75,Seminole,FL
85267,$159.50,Scottsdale,AZ,,33782,$99.75,Pinellas Park,FL
85268,$159.50,Fountain Hills,AZ,,33785,$99.75,Indian Rocks Beach,FL
85269,$159.50,Fountain Hills,AZ,,33811,$99.75,Lakeland,FL
85271,$159.50,Fountain Hills,AZ,,33813,$99.75,Lakeland,FL
85274,$159.50,Fountain Hills,AZ,,33820,$99.75,Alturas,FL
85275,$159.50,Fountain Hills,AZ,,33848,$99.75,Intercession City,FL
85277,$159.50,Fountain Hills,AZ,,33860,$99.75,Mulberry,FL
85280,$159.50,Fountain Hills,AZ,,33877,$99.75,Waverly,FL
85281,$159.50,Tempe,AZ,,33890,$99.75,Zolfo Springs,FL
85282,$159.50,Tempe,AZ,,33897,$99.75,Davenport,FL
85283,$159.50,Tempe,AZ,,33904,$99.75,Cape Coral,FL
85284,$159.50,Tempe,AZ,,33914,$99.75,Cape Coral,FL
85285,$159.50,Tempe,AZ,,33929,$99.75,Estero,FL
85286,$159.50,Chandler,AZ,,33966,$99.75,Fort Myers,FL
85287,$159.50,Chandler,AZ,,33967,$99.75,Fort Myers,FL
85295,$159.50,Gilbert,AZ,,33993,$99.75,Cape Coral,FL
85296,$159.50,Gilbert,AZ,,33994,$99.75,Fort Myers,FL
85297,$159.50,Gilbert,AZ,,34104,$99.75,Naples,FL
85298,$159.50,Gilbert,AZ,,34105,$99.75,Naples,FL
85299,$159.50,Gilbert,AZ,,34108,$99.75,Naples,FL
85301,$159.50,Glendale,AZ,,34109,$99.75,Naples,FL
85302,$159.50,Glendale,AZ,,34110,$99.75,Naples,FL
85303,$159.50,Glendale,AZ,,34113,$99.75,Naples,FL
85304,$159.50,Glendale,AZ,,34119,$99.75,Naples,FL
85305,$159.50,Glendale,AZ,,34120,$99.75,Naples,FL
85306,$159.50,Glendale,AZ,,34133,$99.75,Bonita Springs,FL
85307,$159.50,Glendale,AZ,,34135,$99.75,Bonita Springs,FL
85308,$159.50,Glendale,AZ,,34142,$99.75,Immokalee,FL
85309,$159.50,Luke Air Force Base,AZ,,34145,$99.75,Marco Island,FL
85310,$159.50,Glendale,AZ,,34201,$99.75,Bradenton,FL
85311,$159.50,Glendale,AZ,,34231,$99.75,Sarasota,FL
85312,$159.50,Glendale,AZ,,34232,$99.75,Sarasota,FL
85318,$159.50,Glendale,AZ,,34241,$99.75,Sarasota,FL
85320,$159.50,Aguila,AZ,,34266,$99.75,Arcadia,FL
85322,$159.50,Arlington,AZ,,34278,$99.75,Sarasota,FL
85323,$159.50,Avondale,AZ,,34288,$99.75,North Port,FL
85326,$159.50,Buckeye,AZ,,34291,$99.75,North Port,FL
85327,$159.50,Cave Creek,AZ,,34292,$99.75,Venice,FL
